expID,window_size,overlap,start_index,mean_acc_x,mean_acc_y,mean_acc_z,var_acc_x,var_acc_y,var_acc_z,median_acc_x,median_acc_y,median_acc_z,std_acc_x,std_acc_y,std_acc_z,min_acc_x,min_acc_y,min_acc_z,max_acc_x,max_acc_y,max_acc_z,range_acc_x,range_acc_y,range_acc_z,acc_sum_xyz,acc_abssum,mean_gyr_x,mean_gyr_y,mean_gyr_z,var_gyr_x,var_gyr_y,var_gyr_z,median_gyr_x,median_gyr_y,median_gyr_z,std_gyr_x,std_gyr_y,std_gyr_z,min_gyr_x,min_gyr_y,min_gyr_z,max_gyr_x,max_gyr_y,max_gyr_z,range_gyr_x,range_gyr_y,range_gyr_z,gyr_sum_xyz,gyr_abssum,activity_type
111,400,0,0,0.89351,-0.4825875,0.03915749999999999,0.0007247517794486215,0.0004421226503759403,0.002618824755639097,0.894,-0.482,0.0605,0.02692121430115331,0.021026712781030236,0.051174454131325105,0.772,-0.553,-0.055,1.001,-0.37,0.119,0.22899999999999987,0.18300000000000005,0.174,180.03199999999998,572.784,4.437185,-5.5898175000000005,0.4160199999999999,83.08938756468672,403.7248455631018,12.36960376902254,1.6155,-2.5305,1.1285,9.11533803896963,20.092905353957693,3.5170447493630985,-9.634,-65.427,-9.817,32.866,60.244,7.927,42.5,125.671,17.744,-294.6449999999999,8667.350999999999,Sitting and reading a book
111,400,0,400,0.9030900000000002,-0.4501675,0.029067500000000007,0.001092508170426063,0.0015796585902255618,0.011979015482456137,0.897,-0.465,-0.0225,0.03305311135772339,0.03974491904917611,0.10944868881104121,0.838,-0.536,-0.13,1.052,-0.364,0.199,0.21400000000000008,0.17200000000000004,0.329,192.79600000000005,580.5820000000001,-1.010195,2.6178125,0.4170849999999999,31.458791435563924,301.90675726049466,28.386439882481188,-0.61,-0.39649999999999996,1.098,5.608813728014501,17.375464231510325,5.327892630532375,-19.634,-31.22,-13.171,10.671,77.195,13.841,30.305,108.41499999999999,27.012,809.881,7464.643000000001,Sitting and reading a book
111,400,0,800,0.8518475,-0.5507725000000001,0.11755999999999998,0.0008441395927318312,0.0007868328258145356,0.001419685614035086,0.86,-0.546,0.109,0.02905408048333024,0.028050540561895338,0.03767871566329041,0.786,-0.613,0.071,0.909,-0.495,0.196,0.123,0.118,0.125,167.45399999999995,608.072,-0.5954325000000003,-0.7714825000000002,0.5434825,28.434988130770652,92.64758292199889,12.434048851823308,-0.27449999999999997,-1.89,0.5795,5.3324467302328165,9.625361443706874,3.526194670154118,-13.598,-20.854,-9.329,12.622,24.329,10.183,26.22,45.183,19.512,-329.3730000000002,5567.9349999999995,Sitting and reading a book
111,400,0,1200,0.8648825000000001,-0.5359525,0.07148499999999999,5.990846491228082e-05,0.00022382981829573932,1.7142631578947317e-05,0.866,-0.536,0.071,0.0077400558726846945,0.014960943095130711,0.004140366116534541,0.844,-0.608,0.061,0.89,-0.464,0.086,0.04600000000000004,0.14399999999999996,0.024999999999999994,160.166,588.9280000000001,-0.20881499999999995,-0.5252325,-0.25028999999999996,0.7528187526566411,1.0744617327756893,4.1794333392481215,-0.122,-0.549,-0.183,0.8676512851697052,1.0365624596596625,2.0443662439123087,-2.866,-2.927,-8.293,2.195,2.378,7.866,5.061,5.305,16.159,-393.73499999999996,1224.821,Sitting and reading a book
111,400,0,1600,0.906475,-0.45928,0.06076500000000001,9.877631578947364e-05,0.00034411689223057723,2.6250401002506257e-05,0.909,-0.4575,0.061,0.009938627460040629,0.018550387926687065,0.005123514516667856,0.873,-0.525,0.046,0.932,-0.421,0.076,0.05900000000000005,0.10400000000000004,0.03,203.18400000000003,570.6080000000001,-0.1507799999999999,-0.6307175,-0.6582224999999999,2.95888661313283,1.3496796768859658,6.157429050620308,-0.427,-0.549,-0.122,1.7201414514896238,1.1617571505637336,2.4814167426331895,-4.085,-3.049,-8.78,6.159,4.146,4.695,10.244,7.195,13.475,-575.8879999999999,1696.322,Sitting and reading a book
111,400,0,2000,0.89557,-0.48093,0.0557775,3.050135338345874e-05,0.00014300761904761933,1.73613972431077e-05,0.896,-0.481,0.056,0.005522803036815521,0.011958579307242952,0.004166701002364785,0.882,-0.539,0.044,0.911,-0.434,0.066,0.029000000000000026,0.10500000000000004,0.022000000000000006,188.167,572.9110000000001,-0.10410750000000002,-0.5794425000000001,0.6872149999999999,0.597366176384711,0.21540909442982456,0.9112424649373441,-0.061,-0.61,0.61,0.7728946735388407,0.4641218529974909,0.9545902078574576,-2.317,-1.646,-1.707,1.951,0.976,4.573,4.268000000000001,2.622,6.28,1.4659999999999513,869.4939999999999,Sitting and reading a book
111,400,0,2400,0.88678,-0.49796999999999997,0.048615000000000005,2.8798596491228136e-05,4.970837092731847e-05,5.247295739348379e-05,0.887,-0.498,0.05,0.005366432380197121,0.007050416365528951,0.00724382201558568,0.869,-0.523,0.03,0.908,-0.47,0.062,0.039000000000000035,0.05300000000000005,0.032,174.97,573.346,0.08858249999999998,-0.6921825000000001,0.3752575,0.806715537036342,0.8315533776378448,0.5758100112218044,0.061,-0.61,0.549,0.8981734448514619,0.9118954861374436,0.7588214620197589,-2.073,-4.146,-2.073,3.902,0.793,2.439,5.975,4.939,4.5120000000000005,-91.33700000000005,883.353,Sitting and reading a book
111,400,0,2800,0.8829625000000001,-0.5047875,0.03865749999999999,1.920911654135347e-05,2.595222431077697e-05,9.348565162907287e-06,0.883,-0.505,0.039,0.004382820614781476,0.0050943325677439795,0.0030575423403294494,0.868,-0.522,0.031,0.894,-0.487,0.051,0.026000000000000023,0.03500000000000003,0.019999999999999997,166.73300000000006,570.563,-0.009142500000000008,-0.5574575,0.33515999999999996,0.21226409242481173,0.21742960721177917,0.44779621994987484,0.061,-0.488,0.39649999999999996,0.46072127411788977,0.46629347755654826,0.6691757765713541,-1.341,-2.378,-2.012,1.22,0.427,2.012,2.561,2.805,4.024,-92.57600000000002,628.5999999999999,Sitting and reading a book
111,400,0,3200,0.88327,-0.5033875,0.024170000000000004,4.125523809523821e-05,5.851362781954896e-05,3.660761904761931e-05,0.884,-0.504,0.023,0.006423024061549062,0.00764942009694519,0.006050423046995913,0.856,-0.535,0.013,0.898,-0.478,0.043,0.04200000000000004,0.05700000000000005,0.03,161.621,564.331,-0.013179999999999978,-0.73226,0.16466,0.7201453459649119,0.43495016280701704,1.023095593383458,0.183,-0.671,0.305,0.8486137790331428,0.6595075153529466,1.0114818799086112,-2.256,-2.622,-3.354,1.768,1.28,2.744,4.024,3.902,6.098000000000001,-232.31199999999998,907.348,Sitting and reading a book
111,400,0,3600,0.8829575,-0.5041275000000001,0.0250225,3.605583333333338e-05,0.00013161528195488733,1.2047111528822058e-05,0.883,-0.5045,0.025,0.0060046509751469634,0.01147237037211087,0.0034708949175712676,0.868,-0.541,0.015,0.912,-0.45,0.038,0.04400000000000004,0.09100000000000003,0.023,161.541,564.8430000000001,0.1218375,-0.568095,0.227465,0.3317206226503754,0.30523634182957443,1.49001920679198,0.122,-0.5185,0.2135,0.57595192737795,0.5524819832624177,1.2206634289565572,-1.402,-2.195,-3.537,2.012,1.463,3.963,3.4139999999999997,3.658,7.5,-87.51699999999998,810.6789999999999,Sitting and reading a book
111,400,0,4000,0.8816475,-0.5056875000000001,0.019925,7.987292606516286e-05,0.0003036690162907276,2.5468045112781916e-05,0.881,-0.507,0.02,0.008937165437942998,0.017426101580408845,0.00504658747202324,0.856,-0.558,0.007,0.914,-0.398,0.048,0.05800000000000005,0.16000000000000003,0.041,158.35399999999998,562.904,0.14376999999999998,-0.618345,0.3056775,0.5799029895739348,0.681931509749375,2.7541642641541326,0.122,-0.549,0.366,0.7615136174579774,0.8257914444636582,1.6595674930999742,-2.439,-3.049,-6.22,2.622,1.707,8.354,5.061,4.756,14.573999999999998,-67.55900000000005,1029.395,Sitting and reading a book
111,400,0,4400,0.8764449999999999,-0.515475,0.019145,3.441300751879709e-05,6.578383458646647e-05,4.363807017543863e-05,0.876,-0.516,0.02,0.005866260096415526,0.008110723431757888,0.006605911759586153,0.861,-0.538,-0.008,0.896,-0.478,0.037,0.03500000000000003,0.06000000000000005,0.045,152.04599999999996,564.4680000000001,-0.06621999999999999,-0.6936949999999998,0.337095,0.7033523524812034,0.5252325984711774,0.671166532305764,-0.183,-0.61,0.366,0.8386610474328728,0.7247293277294479,0.8192475403110857,-1.89,-3.415,-2.5,2.683,1.524,2.622,4.5729999999999995,4.939,5.122,-169.12799999999996,873.268,Sitting and reading a book
111,400,0,4800,0.8787425,-0.51075,0.010140000000000003,2.9018740601503825e-05,0.0001027443609022559,2.0742255639097685e-05,0.879,-0.511,0.01,0.005386904547279804,0.010136289306361372,0.004554366656199046,0.86,-0.552,-0.003,0.906,-0.452,0.025,0.04600000000000004,0.10000000000000003,0.028,151.25300000000001,559.859,0.277925,-0.5916874999999999,0.01234250000000002,0.4693998690476192,0.541144776785714,1.564076406209271,0.2135,-0.549,0.122,0.6851276297505591,0.7356254323945809,1.250630403520269,-1.89,-2.805,-5.061,2.317,1.28,2.805,4.207,4.085,7.866,-120.56799999999997,904.9459999999999,Sitting and reading a book
111,400,0,5200,0.8832599999999999,-0.503865,0.04013250000000001,5.125553884711791e-05,6.163586466165414e-05,0.0003575287656641589,0.883,-0.5035000000000001,0.0485,0.007159297371049614,0.007850851206184851,0.01890843107357559,0.862,-0.529,0.008,0.906,-0.479,0.071,0.04400000000000004,0.050000000000000044,0.063,167.81099999999998,570.9029999999999,0.43306,-0.16202999999999995,0.08540999999999999,2.0670451693233147,8.561641578045128,1.153640623458648,0.061,-0.6405000000000001,0.244,1.4377222156325313,2.926028294129284,1.0740766376095554,-1.768,-8.049,-3.293,4.939,11.463,2.622,6.707,19.512,5.915,142.576,1378.0259999999998,Sitting and reading a book
111,400,0,5600,0.9232,-0.41800000000000004,0.031132499999999997,0.0008895338345864641,0.0040479147869674215,0.00010723302631578954,0.927,-0.4165,0.034,0.02982505380693326,0.06362322521664099,0.010355338058981442,0.882,-0.504,0.003,0.995,-0.291,0.048,0.11299999999999999,0.21300000000000002,0.045,214.53300000000002,548.933,0.32549,-1.14857,-1.9663300000000001,1.7431953833583955,1.4685564863157918,15.83385644721805,0.305,-0.854,-0.976,1.320301247200197,1.211840124074043,3.9791778607167148,-2.378,-5.366,-20.0,3.354,0.915,6.341,5.732,6.281,26.341,-1115.7640000000001,2086.316,Sitting and reading a book
111,400,0,6000,0.9503775,-0.35695249999999995,0.0170775,0.00013101753759398485,0.00018851653508771956,2.0928815789473684e-05,0.95,-0.355,0.018,0.011446289249970265,0.013730132376919005,0.004574802267800619,0.902,-0.413,-0.011,1.021,-0.305,0.034,0.11899999999999988,0.10799999999999998,0.045,244.20100000000002,529.785,0.3250125,-0.6366525,0.14086749999999998,0.6715186940789475,0.5258709541290724,3.3459337493170414,0.27449999999999997,-0.549,0.305,0.8194624421405459,0.7251696036990742,1.8291893694522285,-2.195,-4.024,-6.585,2.622,2.317,5.183,4.817,6.341,11.768,-68.30899999999998,1109.507,Sitting and reading a book
111,400,0,6400,0.944115,-0.37657749999999995,0.026704999999999996,0.00014815716791979924,0.00032812430451127823,0.00024400298245614042,0.945,-0.374,0.022,0.012171982908293917,0.018114201735414073,0.015620594817616275,0.892,-0.465,0.011,0.994,-0.349,0.096,0.10199999999999998,0.11600000000000005,0.085,237.69700000000003,538.9590000000001,-0.25085750000000007,0.7497400000000001,1.6285950000000002,3.3384898468107775,22.83032355127819,12.364495965889729,0.122,-0.427,0.732,1.8271534820071293,4.778108783951888,3.5163185245210267,-9.268,-1.829,-1.341,2.256,22.866,16.768,11.524000000000001,24.695,18.109,850.9910000000001,1804.5449999999998,Sitting and reading a book
111,400,0,6800,0.8745150000000002,-0.5177324999999999,0.0633275,7.213511278195516e-05,0.00019973528195488824,0.0006838899686716796,0.874,-0.52,0.069,0.008493239239651451,0.014132773328504503,0.026151290000144916,0.854,-0.551,-0.014,0.905,-0.444,0.11,0.051000000000000045,0.10700000000000004,0.124,168.04400000000004,582.51,2.0967825000000007,-3.2425225,1.5007224999999997,29.372864531522552,54.99988249072054,9.15644474736215,0.6405000000000001,-1.524,0.183,5.419673839957766,7.416190564617426,3.0259617888139547,-7.073,-26.829,-2.378,19.329,17.927,11.707,26.402,44.756,14.085,141.99300000000005,4217.563,Sitting and reading a book
111,400,0,7200,0.8879175,-0.47350250000000005,-0.05585,0.0007727124749373446,0.002724461146616548,0.0040215513784461155,0.889,-0.4845,-0.053,0.027797706289140918,0.05219637101002854,0.06341570293268155,0.83,-0.552,-0.163,0.958,-0.379,0.035,0.128,0.17300000000000004,0.198,143.42600000000002,569.904,0.13566250000000005,-2.7932825,-1.7719250000000002,18.18464198355262,16.75883725583332,16.393094600877177,-0.244,-3.537,-0.793,4.264345434360662,4.093755886204418,4.048838673110745,-10.671,-13.171,-13.598,12.988,10.122,5.366,23.659,23.293,18.964,-1771.8180000000002,4362.34,Sitting and reading a book
111,400,0,7600,0.9128499999999999,-0.4123925,-0.1086325,0.00010825814536340878,0.00032617387844611524,7.301999373433558e-05,0.912,-0.413,-0.108,0.010404717457163783,0.018060284561604096,0.008545173710015237,0.882,-0.48,-0.138,0.992,-0.332,-0.084,0.10999999999999999,0.14799999999999996,0.054000000000000006,156.73,573.55,2.59712,-1.4027550000000002,0.06784499999999995,11.513278406616555,6.142803428546343,5.8883912089975,1.159,-1.159,0.732,3.3931222209959597,2.4784679599596084,2.4266007518744197,-2.805,-13.598,-8.963,12.317,6.22,6.159,15.122,19.818,15.122,504.88399999999984,2677.5,Sitting and reading a book
111,400,0,8000,0.924995,-0.37135000000000007,-0.1265625,0.00026512779448621476,0.002093170426065161,0.00045010635964912247,0.9235,-0.3765,-0.117,0.016282745299433223,0.045751179504633116,0.021215710208454547,0.895,-0.444,-0.174,0.957,-0.297,-0.101,0.061999999999999944,0.14700000000000002,0.07299999999999998,170.83299999999997,569.163,1.0936275,-1.7119749999999998,-1.7565575000000002,0.9489153220488735,3.5455593076441105,5.094002267362159,1.098,-0.976,-1.28,0.9741228475140461,1.8829655619910075,2.2569896471544033,-1.341,-8.78,-8.537,4.085,0.976,2.195,5.426,9.756,10.732000000000001,-949.962,1999.03,Sitting and reading a book
111,400,0,8400,0.9566624999999999,-0.2794875,-0.130875,0.00017018906641603964,0.0006879447055137862,0.0002590469924812037,0.958,-0.276,-0.128,0.013045653161725542,0.026228700034766995,0.016094936858565296,0.92,-0.341,-0.174,0.99,-0.232,-0.103,0.06999999999999995,0.10900000000000001,0.071,218.51999999999995,546.81,0.3361799999999999,-0.005957499999999989,-0.3702225,4.93956075448621,12.380400647312024,8.2110110506203,0.671,-0.427,0.366,2.2225122619428244,3.518579350719836,2.865486180497177,-7.439,-7.256,-8.963,4.207,12.378,5.671,11.646,19.634,14.634,-16.0,2305.0379999999996,Sitting and reading a book
111,400,0,8800,0.9591775,-0.29901249999999996,-0.0796925,5.2286710526315844e-05,0.0001170700187969924,0.0008223638533834587,0.959,-0.299,-0.097,0.007230955021732319,0.010819889962332907,0.028676887093676308,0.936,-0.324,-0.119,0.979,-0.27,-0.039,0.04299999999999993,0.05399999999999999,0.07999999999999999,232.18900000000002,535.1529999999999,-0.46778,0.52744,0.7284075,2.9021965279197968,9.658493074085225,1.1235385829010034,0.0,-0.4575,0.732,1.703583437322574,3.1078116213961917,1.059971029274387,-5.427,-4.329,-2.134,4.024,10.671,3.476,9.451,15.0,5.609999999999999,315.227,1698.683,Sitting and reading a book
111,400,0,9200,0.9560474999999999,-0.3232175,-0.032622500000000006,0.0003341756829573931,0.0009918748809523805,0.00167132831453634,0.959,-0.313,-0.051,0.01828047272248158,0.03149404516654506,0.0408818824730019,0.886,-0.463,-0.061,0.995,-0.288,0.09,0.10899999999999999,0.17500000000000004,0.151,240.08299999999997,531.789,-3.9244675,3.4762825,2.131145,73.66919468064538,70.55820283979325,15.76448560799498,0.183,-0.488,0.488,8.58307606168356,8.399893025497006,3.9704515622275234,-31.159,-2.073,-1.402,1.768,28.11,14.939,32.927,30.183,16.341,673.184,4576.972,Sitting and reading a book
111,400,0,9600,0.9125274999999999,-0.42601,-0.06355250000000001,0.0003313075125313285,0.000637884611528823,0.003511796735588979,0.914,-0.4285,-0.078,0.01820185464537415,0.02525637764068361,0.059260414574899646,0.87,-0.479,-0.159,0.957,-0.364,0.075,0.08699999999999997,0.11499999999999999,0.23399999999999999,169.18599999999998,566.026,-3.8123500000000003,-2.2391550000000002,-0.16796499999999995,62.04576342606515,20.002950898220536,27.801821572706746,-1.1895,-2.5305,-1.646,7.876913318430332,4.472465863281746,5.272743268233979,-29.39,-12.134,-9.268,7.439,7.561,18.049,36.829,19.695,27.317,-2487.788,5531.848,Sitting and reading a book
111,400,0,10000,0.9190600000000001,-0.39719499999999996,-0.10333,0.00010885854636591507,0.00032978644110275766,0.0002065625062656645,0.92,-0.396,-0.105,0.010433529909187738,0.018160023158100808,0.014372282569782175,0.884,-0.493,-0.128,0.967,-0.299,-0.05,0.08299999999999996,0.194,0.078,167.41400000000004,567.834,0.46785499999999997,-0.5960724999999999,-0.08703999999999999,4.497388329799492,3.18966309999373,3.6007469407518875,0.61,-0.732,0.061,2.1207046776483263,1.785962793563665,1.897563422063117,-7.927,-4.573,-7.317,6.768,5.732,5.854,14.695,10.305,13.171,-86.10299999999998,1675.8269999999998,Sitting and reading a book
111,400,0,10400,0.92356,-0.39238,-0.09190750000000002,3.212170426065162e-05,4.673744360902268e-05,0.0005076580889724311,0.923,-0.3935,-0.102,0.0056676012792584145,0.006836478889678713,0.022531269138076335,0.91,-0.411,-0.112,0.938,-0.372,-0.035,0.027999999999999914,0.03899999999999998,0.077,175.70900000000003,563.139,-0.07376,0.5148275,0.319855,0.46418046857142814,5.733825265908532,0.8304619889473686,0.0,-0.305,0.366,0.681307910251619,2.3945407212884335,0.9112968720166709,-2.073,-2.256,-2.134,1.707,8.537,3.841,3.7800000000000002,10.793000000000001,5.975,304.36899999999997,1072.223,Sitting and reading a book
111,400,0,10800,0.9177775,-0.4187025,-0.05354250000000001,7.751177318295747e-05,0.00024351277568922304,6.511097117794457e-05,0.917,-0.422,-0.056,0.008804077077295353,0.015604895888445493,0.008069136953723402,0.894,-0.451,-0.071,0.936,-0.376,-0.034,0.04200000000000004,0.07500000000000001,0.03699999999999999,178.213,556.009,0.349465,-1.03329,0.65759,0.3711646253383467,0.33952937433583974,1.4178245582957416,0.366,-0.915,0.549,0.609232817023465,0.5826914915595042,1.1907243838503274,-1.829,-2.256,-2.378,2.073,0.244,3.841,3.902,2.5,6.219,-10.494000000000028,1066.328,Sitting and reading a book
111,400,0,11200,0.9222025,-0.4003125,-0.079025,4.169072055137837e-05,8.978931704260662e-05,5.715726817042611e-05,0.923,-0.399,-0.079,0.00645683518075058,0.009475722507682811,0.0075602425999716505,0.899,-0.431,-0.098,0.941,-0.378,-0.059,0.041999999999999926,0.05299999999999999,0.03900000000000001,177.14600000000002,560.6160000000001,3.1112724999999997,-2.008585,-0.7109274999999999,18.342967426810755,14.648479421328261,2.5254617215476154,1.098,-0.793,-0.244,4.282869064868871,3.8273331996741886,1.5891701361237618,-1.585,-18.232,-5.305,16.646,1.159,1.829,18.231,19.391,7.1339999999999995,156.70399999999984,2715.8439999999996,Sitting and reading a book
111,400,0,11600,0.92387,-0.3998050000000001,-0.06916499999999999,2.3035689223057657e-05,2.546563909774428e-05,1.1982731829573895e-05,0.924,-0.4,-0.069,0.00479955093972943,0.005046349085997151,0.003461608272114841,0.913,-0.414,-0.079,0.938,-0.383,-0.062,0.02499999999999991,0.030999999999999972,0.017,181.95999999999998,557.136,0.107205,-0.6088225,0.347335,0.2253559628822055,0.27401515387844655,0.44154643887218076,0.183,-0.61,0.427,0.47471671856192876,0.5234645679302913,0.6644896077984822,-1.159,-2.5,-1.463,1.463,0.488,2.317,2.622,2.988,3.7800000000000002,-61.712999999999994,669.217,Sitting and reading a book
111,400,0,12000,0.9263024999999999,-0.40093,-0.0440325,5.969021929824539e-05,7.079208020050105e-05,0.0007451042042606516,0.926,-0.402,-0.04,0.00772594455702637,0.008413802957076012,0.02729659693552754,0.91,-0.426,-0.082,0.952,-0.375,0.001,0.041999999999999926,0.05099999999999999,0.083,192.53599999999994,548.508,0.4204074999999999,-0.5838800000000001,0.02012500000000001,3.446611430018797,15.55491785523809,2.1699584505012526,0.0,-0.305,0.244,1.8565051656321339,3.943972344634035,1.4730778833793048,-2.134,-16.159,-4.878,8.293,7.378,3.963,10.427,23.537,8.841000000000001,-57.33900000000006,1868.5410000000002,Sitting and reading a book
111,400,0,12400,0.91368,-0.4244,-0.04042,0.001354894837092732,0.0031685864661654137,0.0011268757894736844,0.9255,-0.4,-0.0315,0.03680889616781156,0.05629019866873285,0.033568970634704966,0.822,-0.558,-0.117,0.979,-0.302,0.026,0.15700000000000003,0.25600000000000006,0.14300000000000002,179.54400000000004,552.112,4.32973,-3.30182,-1.3190300000000001,58.658979185062705,66.33305246877195,110.24072100160399,3.354,-0.549,-0.3355,7.658915013568352,8.144510572696923,10.4995581336361,-8.049,-27.317,-29.939,26.28,10.488,25.366,34.329,37.805,55.305,-116.44800000000032,7604.182000000001,Sitting and reading a book
